service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20250806","20251213"
"T0#1","1","1","1","1","1","0","0","20250806","20251026"
"T0#10","1","1","1","1","1","0","0","20250806","20251213"
"T0#100","1","1","1","1","1","0","0","20250806","20251213"
"T0#101","1","1","1","1","1","0","0","20250806","20251213"
"T0#102","1","1","1","1","1","0","0","20250806","20251101"
"T0#103","1","1","1","1","1","0","0","20250806","20251213"
"T0#104","1","1","1","1","1","0","0","20250806","20251213"
"T0#105","1","1","1","1","1","0","0","20250806","20251213"
"T0#106","1","1","1","1","1","0","0","20250806","20250831"
"T0#107","1","1","1","1","1","0","0","20250806","20251213"
"T0#108","1","1","1","1","1","0","0","20250806","20251213"
"T0#109","1","1","1","1","1","0","0","20250806","20251213"
"T0#11","1","1","1","1","1","0","0","20250806","20251001"
"T0#110","1","1","1","1","1","0","0","20250806","20251213"
"T0#111","1","1","1","1","1","0","0","20250806","20251213"
"T0#112","1","1","1","1","1","0","0","20250806","20251213"
"T0#113","1","1","1","1","1","0","0","20250806","20251213"
"T0#114","1","1","1","1","1","0","0","20250806","20251213"
"T0#115","1","1","1","1","1","0","0","20250806","20251213"
"T0#116","1","1","1","1","1","0","0","20250806","20251101"
"T0#117","1","1","1","1","1","0","0","20250806","20251213"
"T0#118","1","1","1","1","1","0","0","20250806","20251213"
"T0#119","1","1","1","1","1","0","0","20250806","20251213"
"T0#12","1","1","1","1","1","0","0","20250806","20251213"
"T0#120","1","1","1","1","1","0","0","20250806","20250928"
"T0#121","1","1","1","1","1","0","0","20250806","20251213"
"T0#122","1","1","1","1","1","0","0","20250806","20251213"
"T0#123","1","1","1","1","1","0","0","20250806","20251213"
"T0#13","1","1","1","1","1","0","0","20250812","20250829"
"T0#14","1","1","1","1","1","0","0","20250806","20251213"
"T0#15","1","1","1","1","1","0","0","20250806","20251213"
"T0#16","1","1","1","1","1","0","0","20250806","20251107"
"T0#17","1","1","1","1","1","0","0","20250806","20251213"
"T0#18","1","1","1","1","1","0","0","20250806","20250915"
"T0#19","1","1","1","1","1","0","0","20250916","20251213"
"T0#2","1","1","1","1","1","0","0","20251027","20251213"
"T0#20","1","1","1","1","1","0","0","20250806","20250915"
"T0#21","1","1","1","1","1","0","0","20250806","20251213"
"T0#22","1","1","1","1","1","0","0","20250829","20250914"
"T0#23","1","1","1","1","1","0","0","20250806","20251213"
"T0#24","1","1","1","1","1","0","0","20250806","20250915"
"T0#25","1","1","1","1","1","0","0","20250806","20251213"
"T0#26","1","1","1","1","1","0","0","20250806","20250915"
"T0#27","1","1","1","1","1","0","0","20250806","20250829"
"T0#28","1","1","1","1","1","0","0","20250806","20251213"
"T0#29","1","1","1","1","1","0","0","20250916","20251026"
"T0#3","1","1","1","1","1","0","0","20250806","20250822"
"T0#30","1","1","1","1","1","0","0","20250806","20251213"
"T0#31","1","1","1","1","1","0","0","20250929","20251213"
"T0#32","1","1","1","1","1","0","0","20250806","20251213"
"T0#33","1","1","1","1","1","0","0","20250806","20251213"
"T0#34","1","1","1","1","1","0","0","20250806","20251213"
"T0#35","1","1","1","1","1","0","0","20250806","20250915"
"T0#36","1","1","1","1","1","0","0","20250806","20251213"
"T0#37","1","1","1","1","1","0","0","20250806","20251213"
"T0#38","1","1","1","1","1","0","0","20250806","20250915"
"T0#39","1","1","1","1","1","0","0","20250806","20250828"
"T0#4","1","1","1","1","1","0","0","20250825","20250912"
"T0#40","1","1","1","1","1","0","0","20250806","20251213"
"T0#41","1","1","1","1","1","0","0","20250818","20251124"
"T0#42","1","1","1","1","1","0","0","20250806","20251213"
"T0#43","1","1","1","1","1","0","0","20250806","20251213"
"T0#44","1","1","1","1","1","0","0","20250806","20250815"
"T0#45","1","1","1","1","1","0","0","20250816","20251213"
"T0#46","1","1","1","1","1","0","0","20250806","20251213"
"T0#47","1","1","1","1","1","0","0","20250806","20250831"
"T0#48","1","1","1","1","1","0","0","20250806","20251213"
"T0#49","0","0","1","1","1","0","0","20250806","20250808"
"T0#5","1","1","1","1","1","0","0","20250806","20250815"
"T0#50","1","1","1","1","1","0","0","20250806","20251213"
"T0#51","1","1","1","1","1","0","0","20250812","20251031"
"T0#52","1","1","1","1","1","0","0","20250806","20251213"
"T0#53","1","1","1","1","1","0","0","20250806","20250915"
"T0#54","1","1","1","1","1","0","0","20250806","20251213"
"T0#55","1","1","1","1","1","0","0","20250806","20251213"
"T0#56","1","1","1","1","1","0","0","20250806","20251002"
