route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"11-1-j25-1","","U1","Fürth Hardhöhe - Nürnberg Plärrer - Hauptbahnhof - Langwasser Süd","U-Bahn","1"
"11-1-j25-10","","U1","Fürth Hardhöhe - Nürnberg Stadtgrenze - Plärrer - Hauptbahnhof - Langwasser Süd","U-Bahn","1"
"11-1-j25-11","","U1","Fürth Hardhöhe - Nürnberg Stadtgrenze - Plärrer - Hauptbahnhof - Langwasser Süd","U-Bahn","1"
"11-2-j25-1","","U2","Röthenbach - Plärrer - Hauptbahnhof - Flughafen","U-Bahn","1"
"11-2-j25-10","","U2","Röthenbach - Rothenburger Str. - Plärrer - Hauptbahnhof - Flughafen","U-Bahn","1"
"11-3-j25-1","","U3","Großreuth bei Schweinau - Plärrer - Hauptbahnhof - Nordwestring","U-Bahn","1"
"11-3-j25-10","","U3","Großreuth bei Schweinau - Opernhaus bzw. Hauptbahnhof - Nordwestring","U-Bahn","1"
"1-1-j25-1","","S1","Bamberg  -  Erlangen  -  Fürth  - Nürnberg  -  Feucht  -  Neumarkt (OPf)","S-Bahn","2"
"12-101-j25-11","","D","Frankenstraße - Heynestraße / Landgrabenstraße / Brehmstraße / Schweiggerstraße","Tram","0"
"12-101-j25-8","","D","Frankenstraße - Heynestraße / Landgrabenstraße / Brehmstraße / Schweiggerstraße","Tram","0"
"12-10-j25-1","","10","Dutzendteich - Plärrer - Am Wegfeld","Tram","0"
"12-11-j25-1","","11","Gibitzenhof - Hauptbahnhof - Tiergarten","Tram","0"
"12-11-j25-2","","11","Gibitzenhof - Hauptbahnhof - Tiergarten","Tram","0"
"12-4-j25-1","","4","Gibitzenhof - Plärrer - Am Wegfeld","Tram","0"
"12-5-j25-10","","5","Worzeldorfer Str. - Frankenstr. - Christuskirche -  Hauptbahnhof - Tiergarten","Tram","0"
"12-5-j25-7","","5","Worzeldorfer Str. - Frankenstr. - Christuskirche -  Hauptbahnhof - Tiergarten","Tram","0"
"12-6-j25-8","","6","Doku-Zentrum - Plärrer - Westfriedhof","Tram","0"
"12-7-j25-6","","7","Tristanstraße - Schweiggerstraße - Hauptbahnhof","Tram","0"
"12-8-j25-7","","8","Doku-Zentrum - Hauptbahnhof","Tram","0"
"1-2-j25-1","","S2","Roth - Schwabach - Nürnberg - Lauf (li Pegn)  -  Hersbruck (li Pegn)  -  Hartmannshof","S-Bahn","2"
"13-20-j25-3","","20","Nürnberg Am Wegfeld - Boxdorf - Erlangen Tennenlohe - Arcaden - Hugenottenplatz","Stadtbus","3"
"13-21-j25-1","","21","Ziegelstein Süd - Buchenbühl - Ziegelstein Süd","Stadtbus","3"
"13-21-j25-3","","21","Ziegelstein Süd - Buchenbühl - Herrmann-Löns-Str.","Stadtbus","3"
"13-30-j25-1","","30","Nürnberg Nordostbahnhof - Flughafen - Am Wegfeld - Erlangen Arcaden - Hauptbahnhof - Hugenottenplatz","Stadtbus","3"
"13-31-j25-3","","31","Herrnhütte - Am Wegfeld - Neunhof - Großgründlach","Stadtbus","3"
"13-31-j25-4","","31","Herrnhütte - Am Wegfeld - Neunhof - Großgründlach","Stadtbus","3"
"13-32-j25-1","","32","Herrnhütte - Sieboldstraße Schleife","Stadtbus","3"
"13-34-j25-4","","34","Plärrer - St. Johannisfriedhof - Klinikum Nord - Friedrich-Ebert-Platz","Stadtbus","3"
"13-35-j25-1","","35","Röthenbach - Maximilianstraße - Nordwestring - Nordostbahnhof","Stadtbus","3"
"13-36-j25-6","","36","Plärrer - Rathaus - Doku-Zentrum","Stadtbus","3"
"13-36-j25-8","","36","Plärrer - Rathaus - Doku-Zentrum","Stadtbus","3"
"13-37-j25-1","","37","Nürnberg Heilig-Geist-Spital - Stadtgrenze - Fürth Hauptbahnhof","Stadtbus","3"
"13-37-j25-9","","37","Nürnberg Rathaus - Stadtgrenze - Fürth Hauptbahnhof","Stadtbus","3"
"13-38-j25-1","","38","Virnsberger Straße Wende - Maximilianstraße - Stadtgrenze","Stadtbus","3"
"13-39-j25-2","","39","Fürth Hauptbahnhof - Nürnberg Nordwestring - Maximilianstr.","Stadtbus","3"
"13-40-j25-1","","40","Heinemannbrücke - Laufamholz - Schwaig  bzw. Behringersdorf Schwaig Am Bahnhof - Max-Reger-Straße bzw. Behringersdorf","Stadtbus","3"
"13-43-j25-2","","43","Hauptbahnhof - Zerzabelshof - Passauer Str.","Stadtbus","3"
"13-43-j25-3","","43","Hauptbahnhof - Zerzabelshof - Passauer Str.","Stadtbus","3"
"13-44-j25-1","","44","Hauptbahnhof - Zerzabelshof Mitte - Klinikum Süd - Langwasser Mitte","Stadtbus","3"
"13-44-j25-2","","44","Hauptbahnhof - Zerzabelshof Mitte - Klinikum Süd - Langwasser Mitte","Stadtbus","3"
"13-45-j25-3","","45","Frankenstraße - Zerzabelshof - Mögeldorf - Nordostbahnhof - Ziegelstein","Stadtbus","3"
"13-45-j25-7","","45","Frankenstraße - Volksfestplatz - Mögeldorf - Nordostbahnhof - Ziegelstein","Stadtbus","3"
"13-46-j25-1","","46","Heilig-Geist-Spital - Nordostbahnhof - Martha-Maria-Krankenhaus","Stadtbus","3"
"13-46-j25-9","","46","Nürnberg Rathaus - Nordostbahnhof - Martha-Maria-Krankenhaus","Stadtbus","3"
"13-47-j25-1","","47","Heilig-Geist-Spital - Kilianstraße - Forchheimer Straße","Stadtbus","3"
"13-47-j25-9","","47","Nürnberg Rathaus - Kilianstraße - Forchheimer Straße","Stadtbus","3"
"13-49-j25-1","","49","Nordostbahnhof - Martha-Maria-Krankenhaus","Stadtbus","3"
"13-50-j25-1","","50","Langwasser Mitte - Gewerbepark Nbg./Feucht - Feucht Bahnhof - Am Reichswald","Stadtbus","3"
"13-51-j25-2","","51","Frankenstraße - Herpersdorf - Katzwang - Kornburg - Kleinschwarzenlohe Nord","Stadtbus","3"
