;category;amenity;geometry;name;contact:website;addr:housenumber;addr:postcode;addr:street;website;shop
4816;supplies;;POINT (10.8861094 49.89365899999999);Hornung;http://www.hornung-metzgerei.de;;;;;butcher
2315;transport;;POINT (10.9127869 49.897184100000004);Bamberg Graf-Stauffenberg-Schulen;;;;;;
6480;culture;;POINT (10.8681574 49.880938799999996);;;;;;;
702;services;;POINT (10.900083 49.8956254);Feetback;https://www.feetback-bamberg.de/;1;96050;Gabelsbergerstraße;;
1434;services;bicycle_parking;POINT (10.919448699999998 49.90092049999999);;;;;;;
1881;transport;;POINT (10.8822797 49.8931039);Bamberg Elisabethenstraße;;;;;;
1035;services;;POINT (10.896079799999999 49.89315789999999);Schlake Architekten;https://schlake-architekten.de/;;;;;
4955;supplies;vending_machine;POINT (10.9123803 49.8931901);;;;;;;
6224;restaurant;cafe;POINT (10.8917678 49.89120519999999);Luitpold- Boulevard-Cafè-Bistro-Bar;;;;;;
1100;services;;POINT (10.9098487 49.8652505);Auto Henkel Inhaber Martin Riedel;https://www.auto-henkel-riedel.de/;13;96049;Buger Hauptstraße;;car_repair
6899;culture;;POINT (10.8790981 49.87380110000001);;;;;;;
274;healthcare;;POINT (10.9197986 49.9167322);Body in Balance;https://www.bodyinbalance-physiotherapiepraxis.de/;;;;;
1391;services;bicycle_parking;POINT (10.9161744 49.8938168);;;;;;;
4445;outdoor;;POLYGON ((10.863972599999999 49.905770199999985, 10.8638766 49.9056947, 10.8640431 49.905624299999985, 10.8642381 49.9055253, 10.8643633 49.905630499999994, 10.8641453 49.90571089999999, 10.863972599999999 49.905770199999985));;;;;;;
5997;supplies;fuel;POLYGON ((10.8817069 49.910624199999994, 10.8815875 49.9107283, 10.8815247 49.91078300000001, 10.8815681 49.9108037, 10.8816541 49.9108446, 10.8818332 49.910688500000006, 10.881836300000002 49.9106858, 10.8818124 49.9106744, 10.8817069 49.910624199999994));Esso;;;;;;
328;healthcare;;POINT (10.8924535 49.90186500000001);Praxis für Psychotherapie Jana Sauer;;;;;;
1339;services;;POINT (10.9072183 49.9108147);J. T. Customs;http://www.jt-customs.de/;;;;;car_repair
1513;services;kindergarten;POLYGON ((10.8611301 49.89915889999999, 10.8611601 49.89915379999999, 10.861202500000001 49.899147600000006, 10.8612405 49.899141, 10.8612764 49.89913349999999, 10.8613159 49.899125999999995, 10.861349499999998 49.899116099999986, 10.861370699999998 49.89910809999999, 10.8613868 49.89909629999999, 10.8613926 49.899080299999994, 10.8613919 49.89906239999999, 10.8613868 49.89904729999999, 10.8613773 49.8990313, 10.8613656 49.89901619999999, 10.861344399999998 49.898996899999986, 10.8612837 49.898923, 10.8612106 49.898823199999995, 10.8611989 49.8988104, 10.8611791 49.8988001, 10.8611521 49.898793, 10.861119899999998 49.8987925, 10.861096499999999 49.89879679999999, 10.8610709 49.89880529999999, 10.8610417 49.89881890000001, 10.8610183 49.8988307, 10.860973700000002 49.89883209999999, 10.8609401 49.898832599999984, 10.860905 49.8988293, 10.8608794 49.8988241, 10.8608538 49.89881509999999, 10.8608481 49.898811499999994, 10.860839899999998 49.898806199999996, 10.860826 49.8987973, 10.8608019 49.8987949, 10.860782900000002 49.8987987, 10.8607675 49.898806199999996, 10.8607587 49.89881799999999, 10.860747000000002 49.89883119999999, 10.8607324 49.8988429, 10.8607112 49.8988542, 10.8606856 49.89886369999999, 10.8606527 49.898870699999996, 10.8606301 49.89887589999999, 10.860621300000002 49.89888299999999, 10.8606209 49.898899099999994, 10.8606206 49.898941799999996, 10.8606228 49.89898749999999, 10.860627099999999 49.89900779999999, 10.8606469 49.89904589999999, 10.8606593 49.89906520000002, 10.860671000000002 49.89908080000001, 10.860682 49.899096300000004, 10.8606871 49.8991071, 10.8606929 49.8991198, 10.8606995 49.89913299999999, 10.8607076 49.8991434, 10.8607266 49.89915229999999, 10.8607456 49.899158, 10.8607712 49.89916130000001, 10.8607938 49.899164099999986, 10.8608202 49.899167899999995, 10.8608414 49.899173999999995, 10.8608648 49.899180099999995, 10.8608889 49.89918479999999, 10.8609159 49.8991862, 10.8609576 49.89918479999999, 10.860989 49.899181999999996, 10.86106 49.8991726, 10.8611049 49.8991639, 10.8611301 49.89915889999999));Waldorf Kindergarten;;;;;;
1795;transport;;POINT (10.9009571 49.90101030000001);Bamberg Bahnhof/Brennerstraße;;;;;;
