key,value,category
amenity,art_gallery,culture
amenity,arts_centre,culture
amenity,baptistery,culture
amenity,cinema,culture
amenity,conference_centre,culture
amenity,convention_centre,culture
amenity,events_venue,culture
amenity,library,culture
amenity,monastery,culture
amenity,music_school,culture
amenity,planetarium,culture
amenity,public_bookcase,culture
amenity,theatre,culture
amenity,ticket_office,culture
amenity,toy_library,culture
artwork_type,,culture
attraction,historic,culture
attraction,train,culture
building,abbey,culture
building,arena,culture
building,baptistery,culture
building,basilica,culture
building,cinema,culture
building,congress_centre,culture
building,gasometer,culture
building,library,culture
building,mausoleum,culture
building,monastery,culture
building,museum,culture
building,obelisk,culture
building,place_of_worship,culture
building,propylaea,culture
building,pyramid,culture
building,quadrifrons,culture
building,sports_arena,culture
building,stadium,culture
building,temple,culture
building,theatre,culture
building:part,castle,culture
building:part,theatre,culture
fountain,sarcophagus,culture
fountain,scenic,culture
government,culture,culture
historic,,culture
historic:civilization,,culture
historic:period,,culture
landuse,observatory,culture
leisure,stadium,culture
memorial,bust,culture
memorial,column,culture
memorial,fountain,culture
memorial,ghost_bike,culture
memorial,obelisk,culture
memorial,plaque,culture
memorial,sculpture,culture
memorial,statue,culture
memorial,stele,culture
memorial,stolperstein,culture
memorial,stopelstein,culture
memorial,war,culture
memorial,war_memorial,culture
memorial,yes,culture
museum,,culture
period,aurelian,culture
ruins,acqueduct,culture
ruins,baths,culture
ruins,castle,culture
ruins,cemetery,culture
ruins,crepidoma,culture
ruins,mausoleum,culture
ruins,temple,culture
ruins,thermae,culture
ruins,tomb,culture
site_type,castle,culture
site_type,catacomb,culture
site_type,catacombs,culture
site_type,domus,culture
site_type,fortification,culture
site_type,necropolis,culture
site_type,nymphaeum,culture
site_type,roman_circus,culture
site_type,roman_road,culture
site_type,roman_villa,culture
site_type,ruins,culture
site_type,temple,culture
tomb,mausoleum,culture
tomb,memorial,culture
tomb,sarcophagus,culture
tomb,war_grave,culture
tourism,aquarium,culture
tourism,artwork,culture
tourism,attraction,culture
tourism,gallery,culture
tourism,museum,culture
