key,value,category
amenity,Lasergame,physical
amenity,dancing_school,physical
amenity,dive_centre,physical
amenity,dojo,physical
boules,bocce,physical
boules,boccia,physical
boules,yes,physical
building,gym,physical
building,gymnasium,physical
building,sports_centre,physical
building,sports_hall,physical
club,sport,physical
dance:teaching,yes,physical
leisure,bowling_alley,physical
leisure,dance,physical
leisure,fitness_centre,physical
leisure,fitness_station,physical
leisure,golf_course,physical
leisure,horse_riding,physical
leisure,racetrack,physical
leisure,sports_centre,physical
leisure,sports_hall,physical
leisure,swimming_pool,physical
leisure,track,physical
leisure,yoga,physical
natural,peak,physical
playground,climbingframe,physical
playground,climbingwall,physical
playground,zipwire,physical
shop,yoga,physical
sport,,physical
swimming_pool,covered,physical
swimming_pool,indoor,physical
swimming_pool,outdoor,physical
swimming_pool,yes,physical
