key,value,category
amenity,bbq,restaurant
amenity,bar,restaurant
amenity,biergarten,restaurant
amenity,cafe,restaurant
amenity,canteen,restaurant
amenity,food_court,restaurant
amenity,fast_food,restaurant
amenity,ice_cream,restaurant
amenity,kitchen,restaurant
amenity,pub,restaurant
amenity,restaurant,restaurant
amenity_1,fast_food,restaurant
bar,,restaurant
building,fast_food_restaurant,restaurant
cuisine,,restaurant
cuisine_1,,restaurant
cuisine_2,,restaurant
diet,,restaurant
diet:vegan,,restaurant
diet:vegetarian,,restaurant
food,ice_cream,restaurant
ice_cream,artisanal,restaurant
ice_cream,industrial,restaurant
ice_cream,yes,restaurant
ice_cream:type,,restaurant
oven,electrical,restaurant
oven,wood_fired,restaurant
restaurant,,restaurant
restaurant:type,,restaurant
restaurant:type:it,,restaurant
shop,cafe,restaurant
shop,ice_cream,restaurant
shop,pizza,restaurant
takeaway,no,restaurant
takeaway,only,restaurant
takeaway,yes,restaurant
tourism,agritourism,restaurant
