key,value,category
amenity,animal_breeding,services
amenity,animal_shelter,services
amenity,atm,services
amenity,bank,services
amenity,bicycle_parking,services
amenity,bicycle_rental,services
amenity,bicycle_repair_station,services
amenity,boat_rental,services
amenity,boat_storage,services
amenity,bureau_de_change,services
amenity,car_rental,services
amenity,car_sharing,services
amenity,car_wash,services
amenity,casino,services
amenity,childcare,services
amenity,club,services
amenity,community_centre,services
amenity,community_centres,services
amenity,driving_school,services
amenity,funeral_hall,services
amenity,internet_cafe,services
amenity,kindergarten,services
amenity,left_luggage,services
amenity,luggage_storage,services
amenity,ministry,services
amenity,money_transfer,services
amenity,mortuary,services
amenity,newsagent,services
amenity,nightclub,services
amenity,nursing_home,services
amenity,parcel_locker,services
amenity,payment_terminal,services
amenity,photo_booth,services
amenity,photobooth,services
amenity,post_office,services
amenity,recording_studio,services
amenity,rescue_station,services
amenity,social_centre,services
amenity,social_facility,services
amenity,veterinary,services
atm,yes,services
beauty,nails,services
beauty,tanning,services
bicycle_parking,building,services
bicycle_parking,lockers,services
bicycle_parking,rack,services
bicycle_parking,stands,services
bicycle_parking,wall_loops,services
bicycle_parking,wave,services
building,kindergarten,services
building,nursing_home,services
building,post_office,services
building,public_administration,services
building,public_bath,services
building,service,services
building,toilets,services
craft,camera_repair,services
craft,car_repair,services
craft,carpenter,services
craft,caterer,services
craft,cleaning,services
craft,coachbuilder,services
craft,confectionery,services
craft,electrician,services
craft,electronics_repair,services
craft,gardener,services
craft,handicraft,services
craft,heating_engineer,services
craft,hvac,services
craft,joiner,services
craft,key_cutter,services
craft,laboratory,services
craft,locksmith,services
craft,optician,services
craft,photographer,services
craft,photographic_laboratory,services
craft,plumber,services
craft,printer,services
craft,sculptor,services
craft,shoemaker,services
craft,stonemason,services
craft,tailor,services
craft,tiler,services
craft,turner,services
craft,upholsterer,services
craft,watchmaker,services
craft,window_construction,services
leisure,adult_gaming_centre,services
leisure,amusement_arcade,services
leisure,arcade_hall,services
leisure,escape_game,services
leisure,recreation_center,services
leisure,sauna,services
leisure,tanning_salon,services
music,live,services
office,architect,services
office,architect;engineer,services
office,bank,services
office,employment_agency,services
office,employment_consultant,services
office,energy_supplier,services
office,engineer,services
office,engineering,services
office,estate_agent,services
office,financial,services
office,financial_advisor,services
office,foundation,services
office,government,services
office,insurance,services
office,labour_union,services
office,lawyer,services
office,legal,services
office,moving_company,services
office,ngo,services
office,oil;gas,services
office,taxi,services
office,telecommunication,services
office,travel_agent,services
office,wedding_planner,services
service,dealer;repair,services
service,electrical,services
service,repair,services
service,tyres;repair,services
service:bicycle:pump,yes,services
service:bicycle:repair,yes,services
service:vehicle:inspection,yes,services
service:vehicle:car_repair,yes,services
service:vehicle:tyres,yes,services
shop,car;car_repair,services
shop,car_electrician,services
shop,car_repair,services
shop,car_repair;car,services
shop,car_wash,services
shop,dog_spa,services
shop,dry_cleaning,services
shop,electrical_repair,services
shop,electronics_repair,services
shop,estate_agent,services
shop,finance,services
shop,funeral_directors,services
shop,hairdresser,services
shop,internet,services
shop,laundry,services
shop,massage,services
shop,model,services
shop,money_lender,services
shop,nails,services
shop,newsagent,services
shop,newspaper_agent,services
shop,pet_grooming,services
shop,photo,services
shop,printing,services
shop,rental,services
shop,scrap_yard,services
shop,shoe_repair,services
shop,tattoo,services
shop,travel_agency,services
social_facility,food_bank,services
social_facility,group_home,services
social_facility,leisure,services
social_facility,nursing_home,services
social_facility,senior_citizen_centre,services
street_cabinet,postal_service,services
tourism,spa_resort,services
tourism,theme_park,services
