key,value,category
amenity,compressed_air,supplies
amenity,fuel,supplies
amenity,gambling;vending_machine,supplies
amenity,marketplace,supplies
amenity,vending_machine,supplies
amenity_1,wine,supplies
building,mall,supplies
building,market,supplies
building,retail,supplies
building,retail_outlet,supplies
building,shopping_mall,supplies
building,supermarket,supplies
building:part,retail,supplies
building:part,supermarket,supplies
building:use,commercial,supplies
clothes,,supplies
craft,distillery,supplies
craft,dressmaker,supplies
craft,glaziery,supplies
craft,goldsmith,supplies
craft,parquet_layer,supplies
craft,pottery,supplies
craft,winery,supplies
fuel:cng,yes,supplies
fuel:diesel,yes,supplies
fuel:octane_95,yes,supplies
fuel:octane_98,yes,supplies
goods,yes,supplies
landuse,retail,supplies
second_hand,no,supplies
second_hand,only,supplies
second_hand,yes,supplies
service,parts,supplies
service,parts;repair,supplies
service:bicycle:retail,yes,supplies
shop,accessories,supplies
shop,alcohol,supplies
shop,anime,supplies
shop,antiques,supplies
shop,appliance,supplies
shop,art,supplies
shop,artist,supplies
shop,baby_goods,supplies
shop,bag,supplies
shop,bakery,supplies
shop,bathroom_furnishing,supplies
shop,beauty,supplies
shop,beauty;piercing,supplies
shop,bed,supplies
shop,beverages,supplies
shop,bicycle,supplies
shop,bookmaker,supplies
shop,books,supplies
shop,boutique,supplies
shop,building_supplies,supplies
shop,butcher,supplies
shop,camera,supplies
shop,cannabis,supplies
shop,car,supplies
shop,car_hifi,supplies
shop,car_parts,supplies
shop,caravan,supplies
shop,carpet,supplies
shop,charity,supplies
shop,cheese,supplies
shop,chemist,supplies
shop,chocolate,supplies
shop,clothes,supplies
shop,clothes;tailor,supplies
shop,coffee,supplies
shop,collector,supplies
shop,comics,supplies
shop,communications,supplies
shop,computer,supplies
shop,confectionery,supplies
shop,construction_supplies,supplies
shop,convenience,supplies
shop,copyshop,supplies
shop,cosmetics,supplies
shop,costumes,supplies
shop,craft,supplies
shop,curtain,supplies
shop,dairy,supplies
shop,deli,supplies
shop,dental_supplies,supplies
shop,department_store,supplies
shop,doityourself,supplies
shop,doors,supplies
shop,duty_free,supplies
shop,e-cigarette,supplies
shop,electric_supplies,supplies
shop,electrical,supplies
shop,electronics,supplies
shop,engraver,supplies
shop,erotic,supplies
shop,fabric,supplies
shop,fair_trade,supplies
shop,farm,supplies
shop,fashion,supplies
shop,fashion_accessories,supplies
shop,fireworks,supplies
shop,fishing,supplies
shop,fishmonger,supplies
shop,flooring,supplies
shop,florist,supplies
shop,food,supplies
shop,frame,supplies
shop,frozen_food,supplies
shop,fuel,supplies
shop,furniture,supplies
shop,games,supplies
shop,general,supplies
shop,gift,supplies
shop,glazery,supplies
shop,glaziery,supplies
shop,greengrocer,supplies
shop,grocery,supplies
shop,haberdashery,supplies
shop,hairdresser_supply,supplies
shop,hardware,supplies
shop,hat,supplies
shop,health_food,supplies
shop,hearing_aids,supplies
shop,heating,supplies
shop,heating_cooling,supplies
shop,herbalist,supplies
shop,hifi,supplies
shop,hobby,supplies
shop,household_goods,supplies
shop,household_linen,supplies
shop,houseware,supplies
shop,hunting,supplies
shop,interior_decoration,supplies
shop,jewelry,supplies
shop,kiosk,supplies
shop,kitchen,supplies
shop,leather,supplies
shop,lighting,supplies
shop,locksmith,supplies
shop,lottery,supplies
shop,mall,supplies
shop,medical_supply,supplies
shop,metal;construction;craft,supplies
shop,mobile_phone,supplies
shop,motorcycle,supplies
shop,motorcycle_repair,supplies
shop,music,supplies
shop,musical_instrument,supplies
shop,negozio_di_lampade,supplies
shop,noodles,supplies
shop,nutrition_supplements,supplies
shop,optician,supplies
shop,orthopedics,supplies
shop,outdoor,supplies
shop,paint,supplies
shop,party,supplies
shop,pasta,supplies
shop,pastry,supplies
shop,pawnbroker,supplies
shop,perfumery,supplies
shop,pet,supplies
shop,pottery,supplies
shop,printer_ink,supplies
shop,pyrotechnics,supplies
shop,radiotechnics,supplies
shop,religion,supplies
shop,scuba_diving,supplies
shop,seafood,supplies
shop,second_hand,supplies
shop,security,supplies
shop,sewing,supplies
shop,shoes,supplies
shop,sports,supplies
shop,stationery,supplies
shop,supermarket,supplies
shop,tailor,supplies
shop,tea,supplies
shop,telecommunication,supplies
shop,ticket,supplies
shop,tiles,supplies
shop,tobacco,supplies
shop,toys,supplies
shop,trade,supplies
shop,truck,supplies
shop,tyres,supplies
shop,vacuum_cleaner,supplies
shop,variety_store,supplies
shop,video,supplies
shop,video_games,supplies
shop,watches,supplies
shop,weapons,supplies
shop,wholesale,supplies
shop,window_blind,supplies
shop,wine,supplies
shop,wood,supplies
shop,workshop,supplies
shop,yes,supplies
use,market,supplies
vending,,supplies
