key,value,category
amenity,bus_station,transport
amenity,ferry_terminal,transport
amenity,taxi,transport
building,subway_station,transport
building,transportation,transport
building:part,transportation,transport
bus,urban,transport
bus,yes,transport
car_sharing,yes,transport
construction,subway_station,transport
departures_board,no,transport
departures_board,realtime,transport
departures_board,timetable,transport
departures_board,yes,transport
government,transportation,transport
public_transport,platform,transport
public_transport,station,transport
public_transport,stop,transport
public_transport,stop_area,transport
public_transport,stop_position,transport
railway,platform,transport
railway,station,transport
railway,stop,transport
railway,stop;station,transport
railway,subway_entrance,transport
railway,tram_stop,transport
service,bus,transport
shelter_type,public_transport,transport
station,light_rail,transport
station,rail,transport
station,subway,transport
station,train,transport
subway,yes,transport
suspended:highway,bus_stop,transport
taxi,designated,transport
taxi,yes,transport
train,yes,transport
tram,yes,transport
trolleybus,yes,transport
waterway,boatyard,transport
waterway,dock,transport
